"ID"	"Sex"	"SEX"	"Age"	"Edu"	"Country"	"CHINA"	"Condition"	"CONDITION"	"Round"	"Score"	"Rank"	"CHOICE"	"choice"	"RISK"	"q1"	"q2"	"q3"	"q4"	"q5"	"q6"	"q7"	"q8"	"q9"	"q10"	"q11"	"q12"	"personalityScore"	"personalityScoreR2"
"1"	1	"Female"	2	"18-25"	"Undergraduate Degree"	"United Kingdom"	0	"saferisky"	3	3	25000	1	1	"builds"	0	2	2	1	1	1	1	1	3	1	1	1	1	16	0.266666667
"2"	1	"Female"	2	"18-25"	"Undergraduate Degree"	"United Kingdom"	0	"saferisky"	3	1	16850	3	1	"builds"	0	2	2	1	1	1	1	1	3	1	1	1	1	16	0.266666667
"3"	1	"Female"	2	"18-25"	"Undergraduate Degree"	"United Kingdom"	0	"saferisky"	3	2	8780	5	2	"scrapheap"	1	2	2	1	1	1	1	1	3	1	1	1	1	16	0.266666667
"4"	2	"Female"	2	"18-25"	"College Diploma"	"Austria"	0	"saferisky"	3	1	25000	1	1	"builds"	0	2	4	4	2	3	4	4	2	2	1	1	2	31	0.516666667
"5"	2	"Female"	2	"18-25"	"College Diploma"	"Austria"	0	"saferisky"	3	3	16850	3	1	"builds"	0	2	4	4	2	3	4	4	2	2	1	1	2	31	0.516666667
"6"	2	"Female"	2	"18-25"	"College Diploma"	"Austria"	0	"saferisky"	3	2	8780	5	2	"scrapheap"	1	2	4	4	2	3	4	4	2	2	1	1	2	31	0.516666667
"7"	3	"Female"	2	"18-25"	"Undergraduate Degree"	"Norway"	0	"saferisky"	3	3	25000	1	1	"builds"	0	3	4	1	1	1	3	2	2	3	2	2	3	27	0.45
"8"	3	"Female"	2	"18-25"	"Undergraduate Degree"	"Norway"	0	"saferisky"	3	1	16850	3	1	"builds"	0	3	4	1	1	1	3	2	2	3	2	2	3	27	0.45
"9"	3	"Female"	2	"18-25"	"Undergraduate Degree"	"Norway"	0	"saferisky"	3	2	8780	5	1	"builds"	0	3	4	1	1	1	3	2	2	3	2	2	3	27	0.45
"10"	4	"Female"	2	"18-25"	"Undergraduate Degree"	"Denmark"	0	"safesafe"	2	3	25000	1	2	"scrapheap"	0	3	4	3	1	1	3	1	1	1	1	1	1	21	0.35
"11"	4	"Female"	2	"18-25"	"Undergraduate Degree"	"Denmark"	0	"safesafe"	2	2	16850	3	2	"scrapheap"	0	3	4	3	1	1	3	1	1	1	1	1	1	21	0.35
"12"	4	"Female"	2	"18-25"	"Undergraduate Degree"	"Denmark"	0	"safesafe"	2	1	8780	5	2	"scrapheap"	0	3	4	3	1	1	3	1	1	1	1	1	1	21	0.35
"13"	5	"Male"	1	"18-25"	"Undergraduate Degree"	"Malaysia"	0	"saferisky"	3	1	25000	1	2	"scrapheap"	1	1	4	1	1	2	5	5	2	1	1	1	1	25	0.416666667
"14"	5	"Male"	1	"18-25"	"Undergraduate Degree"	"Malaysia"	0	"saferisky"	3	3	16850	3	2	"scrapheap"	1	1	4	1	1	2	5	5	2	1	1	1	1	25	0.416666667
"15"	5	"Male"	1	"18-25"	"Undergraduate Degree"	"Malaysia"	0	"saferisky"	3	2	8780	5	1	"builds"	0	1	4	1	1	2	5	5	2	1	1	1	1	25	0.416666667
"16"	6	"Female"	2	"18-25"	"Undergraduate Degree"	"China"	1	"saferisky"	3	3	25000	1	2	"scrapheap"	1	1	4	4	3	1	3	2	2	1	1	2	2	26	0.433333333
"17"	6	"Female"	2	"18-25"	"Undergraduate Degree"	"China"	1	"saferisky"	3	1	16850	3	1	"builds"	0	1	4	4	3	1	3	2	2	1	1	2	2	26	0.433333333
"18"	6	"Female"	2	"18-25"	"Undergraduate Degree"	"China"	1	"saferisky"	3	2	8780	5	1	"builds"	0	1	4	4	3	1	3	2	2	1	1	2	2	26	0.433333333
"19"	7	"Female"	2	"18-25"	"Secondary"	"United Kingdom"	0	"safesafe"	2	1	25000	1	2	"scrapheap"	0	2	3	3	2	2	5	1	1	1	1	1	1	23	0.383333333
